"","replication","arrivals","mean_wait_time_doctor","scenario","interarrival_time"
"352",52,11,0.0114536462970918,4,5.5
"353",53,11,0,4,5.5
"354",54,6,0,4,5.5
"355",55,10,4.01119816805174,4,5.5
"356",56,6,0,4,5.5
"357",57,17,14.5209569384973,4,5.5
"358",58,10,9.04464501078457,4,5.5
"359",59,9,0,4,5.5
"360",60,12,5.22872522783007,4,5.5
"361",61,6,0.826605625634005,4,5.5
"362",62,6,0.951194073944839,4,5.5
"363",63,6,0,4,5.5
"364",64,10,7.39696844384161,4,5.5
"365",65,7,3.83387329188333,4,5.5
"366",66,4,0,4,5.5
"367",67,7,5.22141753730772,4,5.5
"368",68,7,0.812024202863021,4,5.5
"369",69,6,0.901965555328375,4,5.5
"370",70,7,1.35871149734314,4,5.5
"371",71,6,0.338134635025873,4,5.5
"372",72,8,0.466918033654859,4,5.5
"373",73,5,0,4,5.5
"374",74,8,0,4,5.5
"375",75,4,0,4,5.5
"376",76,7,1.76569801417483,4,5.5
"377",77,5,0,4,5.5
"378",78,7,2.38352622661708,4,5.5
"379",79,7,0,4,5.5
"380",80,4,0,4,5.5
"381",81,6,0.0893383092120897,4,5.5
"382",82,4,0,4,5.5
"383",83,6,0,4,5.5
"384",84,4,0,4,5.5
"385",85,3,0,4,5.5
"386",86,6,0,4,5.5
"387",87,9,5.85621949454141,4,5.5
"388",88,3,0,4,5.5
"389",89,6,0,4,5.5
"390",90,7,0.393214040142338,4,5.5
"391",91,8,0,4,5.5
"392",92,7,0.453116701096011,4,5.5
"393",93,6,0.704837967446721,4,5.5
"394",94,6,0,4,5.5
"395",95,6,0.203746299562216,4,5.5
"396",96,6,0.294852856808253,4,5.5
"397",97,2,0,4,5.5
"398",98,5,0.298090005887134,4,5.5
"399",99,5,0.202128947272381,4,5.5
"400",100,10,0,4,5.5
"401",1,4,0.218280705289427,5,6
"402",2,5,0,5,6
"403",3,5,0,5,6
"404",4,12,0,5,6
"405",5,10,2.75915564854088,5,6
"406",6,8,0.320979280241579,5,6
"407",7,4,0,5,6
"408",8,8,0.0261723298637984,5,6
"409",9,7,0.925436516512469,5,6
"410",10,6,0,5,6
"411",11,1,0,5,6
"412",12,4,0,5,6
"413",13,6,0,5,6
"414",14,5,0.20154076050967,5,6
"415",15,9,0.584814466439998,5,6
"416",16,11,9.4690304313512,5,6
"417",17,13,0.427542475265652,5,6
"418",18,5,1.92895107718894,5,6
"419",19,9,0.971606388908443,5,6
"420",20,7,0.463596263451347,5,6
"421",21,9,0.730297549339838,5,6
"422",22,10,1.28950571293532,5,6
"423",23,9,0.217194765541363,5,6
"424",24,7,0.20088442654482,5,6
"425",25,7,0,5,6
"426",26,11,0.104369142398127,5,6
"427",27,5,7.27240875418882,5,6
"428",28,9,1.33463905417092,5,6
"429",29,7,0,5,6
"430",30,7,0,5,6
"431",31,7,1.37045055996818,5,6
"432",32,9,0,5,6
"433",33,12,3.57583842825425,5,6
"434",34,5,2.50465345350805,5,6
"435",35,6,0,5,6
"436",36,5,0,5,6
"437",37,8,0.0131433210650735,5,6
"438",38,7,0,5,6
"439",39,4,0,5,6
"440",40,12,2.46849442932249,5,6
"441",41,6,0,5,6
"442",42,6,1.148213526322,5,6
"443",43,7,1.40319943757135,5,6
"444",44,9,0.105974793659892,5,6
"445",45,6,0,5,6
"446",46,8,3.5818029743207,5,6
"447",47,6,0.427982638590038,5,6
"448",48,5,5.98651724984838,5,6
"449",49,9,8.06767645165706,5,6
"450",50,4,0,5,6
"451",51,8,18.3122755941601,5,6
"452",52,9,0,5,6
"453",53,9,0,5,6
"454",54,5,0,5,6
"455",55,10,1.55589515516583,5,6
"456",56,6,0,5,6
"457",57,8,2.56031609172597,5,6
"458",58,8,8.27305555652317,5,6
"459",59,9,0,5,6
"460",60,7,2.77629701568077,5,6
"461",61,4,0.652629193978843,5,6
"462",62,7,0.0882641355598217,5,6
"463",63,5,0,5,6
"464",64,6,3.89089071457822,5,6
"465",65,7,3.48150466347776,5,6
"466",66,4,0,5,6
"467",67,4,0.925369727088099,5,6
"468",68,7,0.727441671038313,5,6
"469",69,5,0.950459828024779,5,6
"470",70,6,0.213788051716985,5,6
"471",71,5,0.00368448508743171,5,6
"472",72,8,0.233204926114536,5,6
"473",73,2,0,5,6
"474",74,5,0,5,6
"475",75,4,0,5,6
"476",76,6,1.72210386331043,5,6
"477",77,4,0,5,6
"478",78,7,0.162352633685146,5,6
"479",79,7,0,5,6
"480",80,3,0,5,6
"481",81,6,0.025433522821622,5,6
"482",82,3,0,5,6
"483",83,4,0,5,6
"484",84,4,0,5,6
"485",85,3,0,5,6
"486",86,4,0,5,6
"487",87,9,0.554875381866559,5,6
"488",88,4,0,5,6
"489",89,6,0,5,6
"490",90,8,0.482426647767083,5,6
"491",91,7,0,5,6
"492",92,6,0.390651015178579,5,6
"493",93,5,0.161904136609985,5,6
"494",94,5,0,5,6
"495",95,6,0.192159702005335,5,6
"496",96,7,0.247314723998232,5,6
"497",97,3,0,5,6
"498",98,5,0,5,6
"499",99,6,0.0718105528503656,5,6
"500",100,8,0,5,6
"501",1,4,0.0371858695430358,6,6.5
"502",2,6,0,6,6.5
"503",3,3,0,6,6.5
"504",4,9,0,6,6.5
"505",5,9,0.0584247866012338,6,6.5
"506",6,9,0.61616207803336,6,6.5
"507",7,4,0,6,6.5
"508",8,8,0,6,6.5
"509",9,7,0.912276360887864,6,6.5
"510",10,5,0,6,6.5
"511",11,1,0,6,6.5
"512",12,3,0,6,6.5
"513",13,3,0,6,6.5
"514",14,6,0.112524145282805,6,6.5
"515",15,8,0,6,6.5
"516",16,11,9.17943775620109,6,6.5
"517",17,10,0.321488666367249,6,6.5
"518",18,8,2.70322869369363,6,6.5
"519",19,7,0.772306485656338,6,6.5
"520",20,6,0.481352358986287,6,6.5
"521",21,9,0.498954736648329,6,6.5
"522",22,8,0,6,6.5
"523",23,10,0.191596410467983,6,6.5
"524",24,7,0.186637257458642,6,6.5
"525",25,7,0,6,6.5
"526",26,9,0,6,6.5
"527",27,4,2.29761402608902,6,6.5
"528",28,8,0.421979276984572,6,6.5
"529",29,7,0,6,6.5
"530",30,6,0,6,6.5
"531",31,5,1.33272045044218,6,6.5
"532",32,9,0,6,6.5
"533",33,8,1.44288578223018,6,6.5
"534",34,6,1.61393923342935,6,6.5
"535",35,6,0,6,6.5
"536",36,4,0,6,6.5
"537",37,8,0,6,6.5
"538",38,7,0,6,6.5
"539",39,5,0,6,6.5
"540",40,11,2.02233859704211,6,6.5
"541",41,6,0,6,6.5
"542",42,10,1.82788701900036,6,6.5
"543",43,7,0,6,6.5
"544",44,9,0.0661674568253703,6,6.5
"545",45,4,0,6,6.5
"546",46,8,1.86162366339119,6,6.5
"547",47,7,0,6,6.5
"548",48,6,5.24601323514775,6,6.5
"549",49,9,3.47644140871585,6,6.5
"550",50,4,0,6,6.5
"551",51,6,1.26697010605043,6,6.5
"552",52,8,0,6,6.5
"553",53,8,0,6,6.5
"554",54,5,0,6,6.5
"555",55,10,0,6,6.5
"556",56,8,0,6,6.5
"557",57,7,0.0270886998592539,6,6.5
"558",58,8,4.2086462413812,6,6.5
"559",59,7,0,6,6.5
"560",60,8,1.83485515098526,6,6.5
"561",61,4,0.0536019444505591,6,6.5
"562",62,6,0,6,6.5
"563",63,5,0,6,6.5
"564",64,8,0.444943053442191,6,6.5
"565",65,7,3.38966714058316,6,6.5
"566",66,3,0,6,6.5
"567",67,5,1.93871939142515,6,6.5
"568",68,7,0.642859139213605,6,6.5
"569",69,5,0.721266655418019,6,6.5
"570",70,6,0.143209778843448,6,6.5
"571",71,5,0.0574423119743827,6,6.5
"572",72,8,0.0398363970985773,6,6.5
"573",73,2,0,6,6.5
"574",74,5,0.00640284050757316,6,6.5
"575",75,6,0,6,6.5
"576",76,6,1.39200441120598,6,6.5
"577",77,4,0,6,6.5
"578",78,8,0.528556852243319,6,6.5
"579",79,7,0,6,6.5
"580",80,2,0,6,6.5
"581",81,4,0,6,6.5
"582",82,3,0,6,6.5
"583",83,2,0,6,6.5
"584",84,5,0,6,6.5
"585",85,2,0,6,6.5
"586",86,5,0,6,6.5
"587",87,7,0.369175203407173,6,6.5
"588",88,4,0,6,6.5
"589",89,5,0,6,6.5
"590",90,8,0.423761734712865,6,6.5
"591",91,5,0,6,6.5
"592",92,5,0.454281176070086,6,6.5
"593",93,3,0,6,6.5
"594",94,4,0,6,6.5
"595",95,5,0.216687725338143,6,6.5
"596",96,6,0.282214832520954,6,6.5
"597",97,3,0,6,6.5
"598",98,4,0,6,6.5
"599",99,7,0.0219669194359864,6,6.5
"600",100,9,0,6,6.5
"601",1,4,0,7,7
"602",2,6,0,7,7
"603",3,3,0,7,7
"604",4,10,0,7,7
"605",5,7,0,7,7
"606",6,13,4.20401211914563,7,7
"607",7,3,0,7,7
"608",8,7,0,7,7
"609",9,7,0.679415318528912,7,7
"610",10,5,0,7,7
"611",11,1,0,7,7
"612",12,2,0,7,7
"613",13,2,0,7,7
"614",14,7,0.0489408486921872,7,7
"615",15,6,0,7,7
"616",16,10,7.22228206231449,7,7
"617",17,15,2.37141482580913,7,7
"618",18,8,1.92788856241814,7,7
"619",19,7,0.295404757001819,7,7
"620",20,5,0.506210892735203,7,7
"621",21,8,0.289674187992794,7,7
"622",22,7,0,7,7
"623",23,10,0.0881626165870379,7,7
"624",24,7,0.172390088372465,7,7
"625",25,6,0,7,7
"626",26,9,0,7,7
"627",27,3,2.56293054137013,7,7
"628",28,9,0.202698846840528,7,7
"629",29,6,0,7,7
"630",30,5,0,7,7
"631",31,5,1.02090022892256,7,7
"632",32,9,0,7,7
"633",33,7,1.38807472076983,7,7
"634",34,5,0,7,7
"635",35,6,0,7,7
"636",36,4,0,7,7
"637",37,8,0,7,7
"638",38,7,0,7,7
"639",39,5,0,7,7
"640",40,7,0,7,7
"641",41,6,0,7,7
"642",42,8,2.18119466290269,7,7
"643",43,3,0,7,7
"644",44,8,0,7,7
"645",45,3,0,7,7
"646",46,7,2.00702404867271,7,7
"647",47,5,0,7,7
"648",48,7,1.33763957201302,7,7
"649",49,6,1.44826633078684,7,7
"650",50,5,0,7,7
"651",51,6,0.707690666312452,7,7
"652",52,7,0,7,7
"653",53,6,0,7,7
"654",54,4,0,7,7
"655",55,7,0,7,7
"656",56,7,0,7,7
"657",57,7,0.0268729384674893,7,7
"658",58,4,3.70829209409308,7,7
"659",59,4,0,7,7
"660",60,8,1.4745967320799,7,7
"661",61,4,0,7,7
"662",62,6,0,7,7
"663",63,3,0,7,7
"664",64,6,0.339340717419716,7,7
