run_number,arrivals,mean_wait_time,mean_time_with_doctor,mean_utilisation_tw,mean_queue_length,mean_time_in_system,mean_patients_in_system,unseen_count,unseen_wait_time,scenario,interarrival_time
11,3972,4.268839638280876,9.79517812516622,0.6430177222392546,0.8409287999543491,14.05543528175489,2.7699819666721104,1,1.5624034663196653,2,5.0
12,4057,3.9511001073095886,9.839401391527339,0.6608899050429203,0.795971986978824,13.789667546860537,2.7786417021075813,0,,2,5.0
13,3991,5.073785167866759,10.125999639262528,0.6681605808137614,1.004448249738088,15.18839550412489,3.008929992179373,1,4.392388428343111,2,5.0
14,4118,5.348572084524169,10.010592738584702,0.6823622197914139,1.099990656899637,15.342763360178353,3.1470773162738843,1,3.500287258946628,2,5.0
0,3721,2.883101671189783,9.865672444297324,0.6058357614632,0.5329792944562479,12.72704910329727,2.350486578845844,4,7.093416106383302,3,5.5
1,3665,3.3667521406307492,10.07913724090987,0.6109218371375634,0.6120608430263738,13.444522526267033,2.4448263544390656,0,,3,5.5
2,3696,3.6259832674675123,10.096262738857607,0.6170322656717596,0.6647635990357106,13.724894032462874,2.5158603960509884,0,,3,5.5
3,3653,4.190117230896592,10.13627197764671,0.6122522103906248,0.7592509049833954,14.32638920854331,2.5960075361552746,0,,3,5.5
4,3624,2.4708030407068913,9.952263245117258,0.5968792487403908,0.4441634237204521,12.423066285824165,2.2348011699416266,0,,3,5.5
5,3745,2.997266945697104,9.981934717105283,0.6181841923969714,0.5567839638708162,12.978521266009444,2.4113365410617313,0,,3,5.5
6,3694,3.5892627877093033,9.870129641732854,0.6031126503909771,0.6576754334225281,13.456512788439744,2.4670133845954587,0,,3,5.5
7,3542,3.3536984240938144,9.989853879586779,0.5849111923780198,0.5892261814553715,13.34231342824731,2.34395975858943,0,,3,5.5
8,3634,2.4831412881916894,9.932982645823,0.597435796057951,0.4491994620147723,12.41134108720348,2.2415068501886233,1,5.068008281828952,3,5.5
9,3602,2.7632260725757556,9.987117706106986,0.5952171242726383,0.493632033093183,12.748793580776896,2.279283405911102,1,1.2446998132727458,3,5.5
10,3742,3.127179263777479,10.27626958646762,0.6365483880321756,0.5804516272348872,13.405284366907624,2.490096791331417,0,,3,5.5
11,3571,2.8999382592121754,9.808377896412935,0.5791784649013777,0.5136745795459662,12.708316155625072,2.2512099742500964,0,,3,5.5
12,3675,3.2533367279763836,10.053179074264929,0.6108588020497634,0.5930561743706949,13.30399482948884,2.4256325805199825,0,,3,5.5
13,3632,3.4537554258819574,9.991077578769495,0.5999679326481225,0.6222241918057178,13.448604272618764,2.422127989750085,0,,3,5.5
14,3771,4.124465185549516,10.132984142891125,0.631691214169397,0.7714959431898425,14.253720042687668,2.6665695856980323,0,,3,5.5
0,3386,1.8154091987355634,9.801118145790557,0.5471396865729087,0.306249745332966,11.579729014639403,1.9476688050516902,4,8.570238947229882,4,6.0
1,3351,2.57101474213942,10.164911261022594,0.5630734266647779,0.4273546825847816,12.737737696270738,2.1165749625791173,0,,4,6.0
2,3392,2.565854596890068,10.056969072485026,0.5648453186369649,0.4329709184383065,12.621660771717155,2.127506874349196,0,,4,6.0
3,3324,3.182431058786985,10.144808918331615,0.5575693098804416,0.5247222638595207,13.330561081095972,2.197430193500843,0,,4,6.0
4,3359,1.8602220808655838,9.962983386158307,0.5534830297900826,0.30998862330500904,11.823205467023895,1.9704377126752541,0,,4,6.0
5,3433,2.0696487822986884,9.96126285872319,0.5652428627560186,0.3524357276602876,12.02766635975991,2.0481643159283447,0,,4,6.0
6,3354,2.5455315863806276,9.808468376004774,0.5442453004343821,0.4243580626479134,12.33844830040929,2.0570939639510573,0,,4,6.0
7,3259,2.3894182425832073,10.01222662955084,0.5393003965638457,0.38626557800489447,12.397923461976438,2.004166767696432,0,,4,6.0
8,3327,1.93436040375154,9.995376152450369,0.549844848862473,0.31922703686911574,11.929736556201908,1.9687615834565335,0,,4,6.0
9,3296,1.7858766687482543,10.031347269796251,0.5465946368455542,0.2919766617159844,11.810652668937905,1.9317605722526474,0,,4,6.0
10,3422,1.9716840451121467,10.142177799779846,0.5740951637983239,0.3354964206399254,12.10321296504771,2.0577819120348937,2,5.36137372588928,4,6.0
11,3255,2.0607238204161344,9.731447553935814,0.5242611634507878,0.3327210335046884,11.788722825792831,1.9055045238570503,0,,4,6.0
12,3378,2.4429159139406593,10.006912559825274,0.558873693098285,0.40933382724660455,12.448256451991341,2.085954906541462,0,,4,6.0
13,3364,2.482058572098965,9.958541053317132,0.5534568073775809,0.41416890062206935,12.442228190213267,2.0745393227548106,0,,4,6.0
14,3460,2.8672873792309344,10.182875396315662,0.5810772193928467,0.49465140240155714,13.030923288009602,2.237883060580095,6,11.426944091957315,4,6.0
0,3143,1.4710504208479611,9.71060282173244,0.5044773025902497,0.2293408468613662,11.181117051566426,1.7427727546321155,0,,5,6.5
1,3073,2.1376695510797825,10.0925323938884,0.5126278704800504,0.3258461572652863,12.225525949784346,1.8637297687054368,0,,5,6.5
2,3152,2.0743839129477335,10.108259191678426,0.5265829049991262,0.32432827845293927,12.185270950934353,1.9040769934503172,0,,5,6.5
3,3028,2.564140634223322,10.13312594665852,0.5070702514394057,0.3851298531958442,12.694229133801738,1.9063406075140605,0,,5,6.5
4,3135,1.3209319974162193,9.850218292263994,0.5111832219900274,0.20541278828868292,11.17464205404277,1.7389624542587652,0,,5,6.5
5,3163,1.7422810613343431,10.029578253212344,0.524470520810481,0.2733549105655024,11.771881010678856,1.8467664729969449,0,,5,6.5
6,3131,1.7977294587042298,9.678657641927847,0.5007348722065438,0.2792009392461777,11.463818889048012,1.781405555865809,0,,5,6.5
7,2996,1.8462864537144692,9.965089506501924,0.4942130116847762,0.27437868131590026,11.812722687418585,1.757017716370229,0,,5,6.5
8,3126,1.5807251063484036,9.888956221169733,0.5117210428285853,0.24510648226414236,11.469681327518147,1.7802696107498983,0,,5,6.5
9,3060,1.3097376730307504,9.967611614619576,0.504406802069754,0.19879946822788175,11.277349287650326,1.7120198744371435,0,,5,6.5
10,3165,1.548205741364574,10.155883905784146,0.5315103425447729,0.24305908588387284,11.703792080306295,1.8375901135181922,0,,5,6.5
11,3028,1.6563123433223363,9.841376944536444,0.49293671981747383,0.2487754848998033,11.497689287858801,1.727585644352225,0,,5,6.5
12,3090,1.8405754313439602,10.139978010939066,0.5172845302728839,0.28222173768511694,11.968143559953258,1.8340753285037685,2,2.9466498709043663,5,6.5
13,3121,1.6817194909369308,9.917251342507713,0.5111264035172088,0.2603495303181627,11.575747091426363,1.7937287408697893,0,,5,6.5
14,3154,1.565501958131033,10.02304046507538,0.5226962570576682,0.24492029642585703,11.58854242320642,1.8130090675988615,0,,5,6.5
0,2886,1.120455037823494,9.710275244999464,0.4635377775670798,0.16039847416461328,10.827118707777533,1.5510118068658527,0,,6,7.0
1,2854,1.7769513895512306,10.123911853344625,0.47843710854806987,0.2515584953263498,11.901895358293094,1.6868698209705595,0,,6,7.0
2,2920,1.5986531032134579,10.050703301502347,0.48488625799399165,0.23155094550512387,11.644919829381992,1.686209719487099,0,,6,7.0
