run_number,arrivals,mean_wait_time,mean_time_with_doctor,mean_utilisation_tw,mean_queue_length,mean_time_in_system,mean_patients_in_system,unseen_count,unseen_wait_time,scenario,interarrival_time,number_of_doctors
14,5120,2.41688180671509,10.056911196896937,0.63853007420143,0.6138112524990704,12.465848893374872,3.1679315493047864,0,,1,4,4
0,5176,0.5077470112203974,9.853631344843015,0.5062314697600551,0.1303620302617449,10.359030423350013,2.661519379062025,0,,2,4,5
1,5077,0.6113456655816387,10.057999289699298,0.5063938633195889,0.15395842976974106,10.656428189398449,2.685927746367688,0,,2,4,5
2,5144,0.6449902353643113,10.02616387373688,0.5116526484772075,0.16457488942033816,10.671154109101177,2.722838131806375,0,,2,4,5
3,4983,0.5500298644847826,9.906484012287244,0.48997778611716286,0.1359523221591107,10.454775125730098,2.585841252744923,0,,2,4,5
4,4965,0.44907915316887453,9.969900180612195,0.490915724371007,0.11059910691882252,10.415841216534728,2.565177728773857,0,,2,4,5
5,5055,0.47910207477171807,9.976158885189049,0.5000531048649135,0.12013199345094419,10.449701489069756,2.6203975177755123,0,,2,4,5
6,5103,0.5925491040825985,10.163423145840538,0.5145684504170265,0.14998899197090776,10.754498598641792,2.7228312440560423,0,,2,4,5
7,4970,0.584787684506833,10.093432432559721,0.4977217131583873,0.14416640833328176,10.67614293516609,2.6327749741252124,0,,2,4,5
8,4973,0.4400750334093771,10.065642312959824,0.4958107685303001,0.10855620739805716,10.486007264693349,2.5876100500495602,0,,2,4,5
9,4955,0.5814203684216007,10.193098514786547,0.5017108158593099,0.14290366694092418,10.776349125294605,2.6514577462374764,0,,2,4,5
10,5094,0.5325670666285459,10.233575130980812,0.5170265571930527,0.1345682855856058,10.763757790649391,2.7197010715508627,0,,2,4,5
11,5021,0.5667155559349712,9.893326585467065,0.49336188746547377,0.14116447885822006,10.460042141402079,2.6079739161855913,0,,2,4,5
12,5128,0.393750769441194,9.90745469165059,0.5036712452774007,0.10015644571897038,10.290924216462424,2.618512672105973,0,,2,4,5
13,5006,0.5393814656383025,10.071146853558885,0.4986694370963903,0.13764387591106425,10.587191399761073,2.6309910613930168,9,8.845706063606485,2,4,5
14,5120,0.5670786137488495,10.056911196896937,0.5108348744875602,0.1440199653965332,10.616034286588246,2.698194337834332,0,,2,4,5
0,4048,4.155456802271765,9.908492340625259,0.6632072702010707,0.8343893420434575,14.06252945874013,2.8240111526466674,0,,3,5,3
1,4038,4.764273084192769,9.976673387707303,0.6658658750729496,0.954188609935074,14.73786463437683,2.951786235153927,1,3.071935404885153,3,5,3
2,4054,6.2547565309056825,10.087097054500568,0.6770299269022856,1.2586262374819104,16.333939542590436,3.289716018188766,0,,3,5,3
3,4013,5.410426593427259,9.976294136062485,0.6616751758531192,1.0769862063206146,15.38537087129556,3.0620117338799746,0,,3,5,3
4,3941,3.662461486718333,10.022256536746408,0.653478504647983,0.7160038253348275,13.685141957949698,2.6764393392787733,0,,3,5,3
5,4078,4.412299212443008,10.012961127625521,0.6758436304550127,0.8934187367781896,14.42360042769953,2.9209496281432257,0,,3,5,3
6,4058,5.794168357815886,9.993199558298596,0.6707194330068992,1.166470782709779,15.787594414070018,3.1786290817304765,0,,3,5,3
7,3872,4.581308718113422,10.046771695002025,0.6420556349839592,0.879902150621784,14.620662929954209,2.8060690555736616,0,,3,5,3
8,3992,3.8757056020629737,9.996389359725816,0.6598571691891453,0.7674512283450095,13.875000172359425,2.7470227359124424,0,,3,5,3
9,3956,4.86095378812666,10.184734734154645,0.6664786808146531,0.9547572007633558,15.03904655810219,2.9541932432073157,0,,3,5,3
10,4095,4.631730873721623,10.156849754640572,0.687699665766951,0.9408203337247046,14.793417479479242,3.003919331025565,0,,3,5,3
11,3972,4.268839638280876,9.79517812516622,0.6430177222392546,0.8409287999543491,14.05543528175489,2.7699819666721104,1,1.5624034663196653,3,5,3
12,4057,3.9511001073095886,9.839401391527339,0.6608899050429203,0.795971986978824,13.789667546860537,2.7786417021075813,0,,3,5,3
13,3991,5.073785167866759,10.125999639262528,0.6681605808137614,1.004448249738088,15.18839550412489,3.008929992179373,1,4.392388428343111,3,5,3
14,4118,5.348572084524169,10.010592738584702,0.6823622197914139,1.099990656899637,15.342763360178353,3.1470773162738843,1,3.500287258946628,3,5,3
0,4048,0.813721967500004,9.908492340625259,0.4974034175917011,0.16339020458531828,10.719968892603216,2.153003874952124,0,,4,5,4
1,4038,0.9723198944343929,9.975666717922994,0.4994531350258577,0.1947533598078412,10.943645011547904,2.19256589991127,0,,4,5,4
